m,n,mu,nu,Re[A],Im[A],Re[B],Im[B]
0,1,3,3,-0.0941603470434171,0.006378778079176548,0.0010709948100335331,0.03579492764996375
0,1,-4,4,677.7346239916836,1481.4320467858622,-405.63912520765393,184.0977568250122
0,1,-3,4,185.65881227588716,-2588.108763310126,609.8860025121608,45.18482290589128
0,1,-2,4,-875.2996941898007,1357.6917861942932,-255.23139443846827,-165.02207615976923
0,1,-1,4,347.8575062631355,-188.20455384428575,24.06674968970872,44.38625425118858
0,1,0,4,25.931744881276476,-0.22221714142436233,0.,0.
0,1,1,4,-17.315844200809742,-9.551232197555379,-1.217321236229019,2.2116733541645526
0,1,2,4,-2.4174790245585216,-3.780296948496906,-0.7118552405683176,0.45391065348250087
0,1,3,4,-0.03599863064628155,-0.5135731010213574,-0.12106330334153623,0.008201286101798416
0,1,4,4,0.016819309425250725,-0.036737099744989815,-0.010031474908493062,-0.004629324845925295
0,1,-5,5,33806.99129862073,-45255.265995853726,9802.74868800647,7325.036897257181
0,1,-4,5,-83532.86004835821,38226.700728286894,-7455.080863908521,-16295.752514644484
0,1,-3,5,62055.48019471297,4404.353897961878,-746.086637557496,10499.788798153355
0,1,-2,5,-17254.456489637803,-11081.718441525507,1533.7329162689678,-2387.902972529584
0,1,-1,5,1046.9699940853102,1917.8126894154025,-215.6890619999824,117.79177859841754
0,1,0,5,0.015178864930924872,494.1485687156098,0.,0.
0,1,1,5,34.93678101534713,-63.90644967672015,-7.1885220496203575,-3.9284305941460738
0,1,2,5,20.54400660498682,-13.187870017090914,-1.8250665800202304,-2.8432591216677685
0,1,3,5,3.078174713456462,-0.2181047893790497,-0.03686062037829998,-0.5208333272999357
0,1,4,5,0.23018844687406062,0.10535504256806198,0.02055693374197311,-0.04490089968832088
0,1,5,5,0.009316194908525794,0.012471217004430225,0.0027019468722359343,-0.0020178179289233066
0,1,-6,6,-2.639121446151189e6,-376197.8837003301,67939.03742913989,-476595.06222091476
0,1,-5,6,3.532606780856541e6,2.638939562172298e6,-439490.8868820694,588318.4579460985
0,1,-4,6,-1.3135218304049508e6,-2.8701079543504054e6,431206.887074843,-197342.88128385672
0,1,-3,6,-85486.0450729844,1.205432827013348e6,-158525.21987241975,-11242.465842158097
0,1,-2,6,123867.39589986448,-192910.10671015878,21656.59154006579,13905.667009631861
0,1,-1,6,-3695.6772618431314,2018.7805526813945,-494.36555756976725,-904.9391896535373
0,1,0,6,-5379.156402115239,-0.009851125741421874,0.,0.
0,1,1,6,87.98876681176522,48.072699938089876,11.770790962197331,-21.54607151008545
0,1,2,6,73.72954683640116,114.82811607425533,12.890898386872026,-8.277073586345471
0,1,3,6,1.4133622201959355,19.931105245846286,2.6211196274121944,-0.1858651368892985
0,1,4,6,-0.7239471430479658,1.5818476380307305,0.23765719576488428,0.10876682796415742
0,1,5,6,-0.08849933274651049,0.06611088643107113,0.01101004852825776,0.014738711005235723
0,1,6,6,-0.0055096298520748675,0.0007853781779726773,0.0001418262521597376,0.0009949771305549362
0,1,-7,7,5.759853154531518e7,1.5376599001394504e8,-2.386637263773591e7,8.93999799863247e6
0,1,-6,7,3.883477352933347e7,-2.7243572195795965e8,3.9586821692267835e7,5.642968255504952e6
0,1,-5,7,-1.2252959125684243e8,1.640239998229349e8,-2.1993018329333324e7,-1.6429278190725857e7
0,1,-4,7,7.804372420366593e7,-3.571729607752083e7,4.3388715816169875e6,9.480609645105511e6
0,1,-3,7,-2.0557214147793524e7,-1.4578130542915303e6,157615.68347967975,-2.2226020793839106e6
0,1,-2,7,1.84209104966026e6,1.1827934231814335e6,-119963.34847663438,186831.80823462887
0,1,-1,7,68141.90756179829,124732.88074700248,1139.5335546316403,-622.5298836429122
0,1,0,7,0.004019192878603198,-48706.71175673127,0.,0.
0,1,1,7,1216.8191110395144,-2227.37323478386,20.348811454338207,11.116608764882839
0,1,2,7,-609.1572020876783,391.1352215902694,39.670408236370186,61.783012581487874
0,1,3,7,-135.96041234983807,9.641602123215911,1.0424290963300356,14.699749391809743
0,1,4,7,-11.730958584548635,-5.368762398522388,-0.6521875459033651,1.4250554437544556
0,1,5,7,-0.5116040673673024,-0.6848578613471519,-0.09182859229076563,0.06859799295845546
0,1,6,7,-0.006236492312086899,-0.04375057215792741,-0.006357265213932539,0.0009062055899684737
0,1,7,7,0.0006606981073633615,-0.0017638105510835798,-0.0002737650702226748,-0.00010254849246262399
0,1,-8,8,8.361394034876136e9,-9.680999963323318e9,1.3189526239815333e9,1.1391677178696244e9
